PROC_NAME,PRCS_OWNER,USER_COUNT,RUN_COUNT,AVG_RUN_TIME
CSU_AUTOENR1 [AE],CSU,3,92,11.3
CSUHR005 [SQR-R],CSU,1,1,106
CSULCDCR [JOB],CSU,3,11,2560
SJSF073 [SQR-R],SJSU,1,24,12.8
SFPGLBCK [CBL],PS,1,7,147.4
CSULCDFN [JOB],CSU,1,11,592.5
BEN701 [SQR-R],PS,1,1,15
SJSF075 [SQR-R],SJSU,1,3,14.3
CSU_APDB_FED [AE],CSU,2,66,21.7
CSU_APDB_31 [AE],CSU,2,66,121.6
SFPTPDRV [CBL],PS,1,3,14.3
SAD_ATCH_DEL [AE],PS,3,53,11.5
SRPCCONA [CBL],PS,2,14,42.4
SJHR036 [SQR-R],SJSU,2,2,31
SJSF034 [SQR-R],SJSU,1,4,15
SJUT031 [SQR-P],SJSU,1,2,11
CSU_ESPW_RT [AE],CSU,1,1,13
SJFA117 [SQR-R],SJSU,2,5,256
SJ_SR_ABC_SG [AE],SJSU,1,2,253
SJSF086 [SQR-R],SJSU,1,1,15
CSUEVAL [JOB],CSU,1,2,1405.5
SFP1098P [CBL],PS,1,5,1897.2
CSU_FA_MCS [AE],CSU,1,1,84
BEN709 [SQR-R],PS,1,1,23
TL_CAL_GEN [AE],PS,1,2,8.5
SJSF044 [SQR-R],SJSU,2,3,1346.3
BAS005 [SQR-R],PS,1,1,6
APPMSGARCH [AE],PS,2,262,686.1
SJSF006 [SQR-R],SJSU,1,303,108.3
SJSR072 [SQR-R],SJSU,135,1392,84.4
SJTF010 [SQR-R],SJSU,70,3807,13.7
FRHR0986 [SQR-R],Other,134,1996,45.7
CSUAD018 [SQR-R],CSU,3,597,89.9
SJ_CHKLST [AE],SJSU,4,456,36.8
SJUT012 [SQR-R],SJSU,1,360,18.1
TRN018 [SQR-R],PS,4,21,13.8
SJFA003 [SQR-P],SJSU,1,103,120.2
SRGRDPST [SQR-R],PS,2,28,15.2
CSU_ESP_BU [AE],CSU,1,37,777.5
SJHR021 [SQR-R],SJSU,88,380,17.6
SJHR030 [SQR-R],SJSU,1,257,48.7
GPPDPRUN [CBL],PS,6,389,780.4
SCRTY_CLSUPD [AE],PS,2,360,75.1
SJSR015 [SQR-R],SJSU,29,388,13.9
CSUBAS05 [SQR-R],CSU,2,36,90.8
CSUPSRSFTPI2 [AE],CSU,2,18,64.1
SJSR064 [SQR-R],SJSU,53,517,41.5
SJAA005 [SQR-P],SJSU,4,22,19.9
SJSR014W [SQR-R],SJSU,10,42,15.5
SJLCD002 [SQR-R],SJSU,44,132,49.6
CSUHR007 [SQR-R],CSU,3,15,11.5
CSUAD16G [SQR-R],CSU,3,471,14.5
SR731--- [CR],PS,1,1,5
GPCMPRPT [JOB],PS,2,3,150.3
CSU_MCS_FILE [AE],CSU,1,34,11.6
SJSR087 [SQR-R],SJSU,1,9,9.8
CSULCD70 [SQR-R],CSU,1,11,114.3
CSUCO001 [SQR-R],CSU,1,2,53
GP_AUTO_CAL [AE],PS,1,34,12.5
PER027B [SQR-R],PS,1,2,15
PSQRYACCLIST [AE],PS,2,13,25.7
CSUHR036 [SQR-R],CSU,1,4,15
CSUFA013 [SQR-R],CSU,1,3,50
SJ_ATG_SAPLD [AE],SJSU,2,3,788
FA857 [CR],PS,1,2,11.5
FA_AID_YEAR [AE],PS,1,5,24.6
SJAT002 [SQR-R],SJSU,1,1,8
SFA_LNDTUPDT [AE],PS,1,3,21.7
SJSR094 [SQR-R],SJSU,1,1,15
CSU_REM_01 [AE],CSU,2,25,794.4
CSU_T130_PR [AE],CSU,2,22,42.8
SJUT027 [SQR-P],SJSU,1,258,211
SJ_PRIM_PERM [AE],SJSU,1,22940,25.9
SJUT01 [JOB],SJSU,1,258,950.8
CSUBE009 [SQR-R],CSU,2,251,570.6
SJUT018 [SQR-P],SJSU,1,356,1217.6
CSUFA05L [SQR-R],CSU,1,43,26.7
FAPTRMU1 [SQR-R],PS,2,503,1042.3
SJ_SF_SETINS [AE],SJSU,1,257,21.2
TL_GRP_RFRSH [AE],PS,10,372,77.2
SJSR075 [SQR-R],SJSU,18,303,22.8
CSUBB003 [SQR-R],CSU,4,913,12.3
SCC_SI_RELS [AE],PS,15,381,20.7
SR776P-- [CR],PS,27,118,8.5
CSUAD003 [SQR-R],CSU,1,13,178.3
CHIAA004 [SQR-P],Other,4,23,28.9
SRTCSTEV [SQR-R],PS,26,1032,14.1
FAPAUTHS [CBL],PS,2,101,416.6
CSUBB02C [SQR-R],CSU,3,203,33.4
CSU_EO_STGAL [AE],CSU,1,1,13
CSUESP20 [SQR-R],CSU,1,11,267.2
SJSR120 [SQR-R],SJSU,1,4,791.8
SFPTPPRC [CBL],PS,1,8,13.3
SJSR029 [SQR-R],SJSU,2,2,38.5
SJSA004 [SQR-R],SJSU,1,4,26.5
CSUAD023 [SQR-R],CSU,1,2,853
SJSF052 [SQR-R],SJSU,1,3,26.7
XRFIELDS [SQR-R],PS,1,1,131
CSU_ESP_OVL [AE],CSU,1,1,24
SJSF025 [SQR-R],SJSU,1,50,1758.2
SJLCD008 [SQR-R],SJSU,87,637,41.5
TL_TIMEADMIN [AE],PS,27,1390,218.7
CSUBE001 [AE],CSU,2,135,24.3
CSUBB002 [SQR-R],CSU,4,299,12.7
SJ_SR_AL_UPD [AE],SJSU,1,26,27.4
SJSF067 [SQR-R],SJSU,2,2,226
SJCC014 [SQR-P],SJSU,2,99,24.4
CSUFA002 [SQR-R],CSU,2,143,37.9
SJSF083 [SQR-R],SJSU,1,25,12.4
SJSF088 [SQR-R],SJSU,1,49,11.6
CSUTL012 [SQR-R],CSU,7,124,12.7
GP00PK01 [SQR-R],PS,2,3,39
SR777--- [CR],PS,5,19,9.7
SRREVENG [SQR-R],PS,1,16,13.9
SJSF037 [SQR-R],SJSU,1,2,45
SJSR010 [SQR-R],SJSU,2,18,355.3
SJSF038 [SQR-R],SJSU,1,4,11.3
SJTF003 [SQR-R],SJSU,1,2,15.5
SJSR100 [SQR-R],SJSU,2,10,78.9
CSUHR089 [SQR-R],CSU,1,39,6.6
CSUXACL8 [JOB],CSU,2,254,132.5
SJSRWAIT [JOB],SJSU,1,221,370.4
FAPBDGTS [CBL],PS,1,54,297.1
FAPPLBL0 [CBL],PS,2,112,47.6
SFPCRDPS [CBL],PS,1,602,1861.4
BEN020 [SQR-R],PS,1,1,15
PER027 [SQR-R],PS,1,2,75.5
SJCC024 [SQR-R],SJSU,1,2,54.5
SJCO013 [SQR-R],SJSU,1,10,197.6
SJHR034 [SQR-R],SJSU,11,153,42.8
SJSA005 [SQR-R],SJSU,1,4,14.5
SJSF032 [SQR-R],SJSU,3,16,11.7
SJSF065 [SQR-R],SJSU,2,1787,27.9
SJSF071 [SQR-R],SJSU,1,51,4964.4
SJSR036 [SQR-R],SJSU,1,7,12.4
SJSR049 [SQR-R],SJSU,1,7,13.3
SJSR071 [SQR-R],SJSU,22,154,21.9
SJSR108 [SQR-R],SJSU,2,12,1126.8
SJSR114 [SQR-R],SJSU,3,267,74
SJUT017 [SQR-R],SJSU,1,259,370.7
SJUT045 [SQR-R],SJSU,2,372,212.4
SJUT047 [SQR-R],SJSU,1,102,29.9
CSUAD017 [SQR-R],CSU,3,471,22.7
CSUAD031 [SQR-R],CSU,4,232,33.8
CSUBAS27 [SQR-R],CSU,1,1,15
CSUBB004 [SQR-R],CSU,5,182,13.4
CSUCO019 [SQR-R],CSU,1,29,14.5
CSUFA010 [SQR-R],CSU,1,58,14.4
CSUHR014 [SQR-R],CSU,1,340,157.2
CSULCD30 [SQR-R],CSU,1,11,444.6
CSUTL016 [SQR-R],CSU,1,1,12
SFBILLIV [SQR-R],PS,1,1,12
SFTBLVAL [SQR-R],PS,3,255,587.8
SJSR0001 [SQR-R],SJSU,389,114891,13.3
SJSR017S [SQR-R],SJSU,1,10,95.6
SJWBHRXA [SQR-R],SJSU,1,243,208.9
SJCC011 [SQR-P],SJSU,2,41,1431
SJHR033 [SQR-P],SJSU,1,7,12.9
SJSF072 [SQR-P],SJSU,1,2,75
SJUT034 [SQR-P],SJSU,3,728,86.6
SJUT040 [SQR-P],SJSU,2,26,153.6
CSUFA100 [AE],CSU,1,110,61
CSU_FADB [AE],CSU,1,16,1170.5
GP_PINMAP [AE],PS,2,3,28.3
